Turnstile Counts by Month CBC 01/04/23 to 31/03/24,,,,,,,,,,,,,
,,,,,,,,,,,,,
Library,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Grand Total
Houghton Regis Library,6155,6155,4867,4813,6834,5297,4947,5111,5241,4880,6447,7015,67762
Barton Library,2309,2268,2399,2425,3295,2483,2477,2395,2105,501,3074,2289,28020
Shefford Library,6783,5106,4860,5875,7038,5624,10506,4695,4258,4844,5083,5231,69903
Leighton Buzzard Library,8159,6836,7731,8919,10642,9410,8927,8599,7384,10304,9559,9414,105884
Toddington Library,2045,2036,2225,2035,2575,2223,2419,2354,2031,2378,2362,2459,27142
Ampthill Library,2520,3261,2553,2898,3273,2936,3278,2689,2141,2551,2551,,30651
Stotfold Library,2430,2342,2515,3175,3964,3071,2758,2665,2021,2545,2528,2395,32409
Potton Library,4312,3116,3646,3726,6555,3681,4002,3428,3804,4069,3988,3392,47719
Sandy Library,3460,4337,3752,4559,6565,4099,4165,3719,3598,4152,4086,4216,50708
Flitwick Library,7781,8305,8113,9154,11280,8424,8624,9955,8876,10780,10630,10010,111932
Dunstable Library,12126,12054,11399,13274,13994,12137,13648,14058,12469,13715,9735,12847,151456
Biggleswade Library,0,0,0,0,0,0,2626,5503,4501,5715,5736,5601,29682
Grand Total,58080,55816,54060,60853,76015,59385,68377,65171,58429,66434,65779,64869,753268
