Reservations,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,Total
Brixton,489,418,451,485,548,471,594,493,388,451,448,557,"5,793"
Carnegie,84,101,105,132,132,162,167,117,131,157,202,141,"1,631"
Clapham,288,238,284,300,321,349,320,267,238,332,329,339,"3,605"
Durning,115,125,133,99,91,112,104,105,104,158,168,125,"1,439"
Minet,45,53,80,57,97,76,67,89,98,101,113,151,"1,027"
South Lambeth,175,158,162,186,156,187,136,114,138,175,191,205,"1,983"
Streatham,239,276,222,261,331,301,328,288,219,271,220,289,"3,245"
Upper Norwood,228,225,297,296,254,270,251,264,223,260,303,268,"3,139"
Waterloo,57,44,82,44,41,57,41,35,44,67,81,98,691
West Norwood,355,318,340,500,360,469,394,356,302,476,428,399,"4,697"
Home Visit Service,27,21,35,40,42,12,51,33,32,44,17,31,385
Other not attached to a branch,15,21,47,45,61,42,48,10,8,20,16,24,357
Total,"2,117","1,998","2,238","2,445","2,434","2,508","2,501","2,171","1,925","2,512","2,516","2,627","27,992"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
