Top Titles,Author,ISBN,Issues
Lessons in chemistry /,"Garmus, Bonnie,",9781804990926,496
Twenty thousand fleas under the sea /,"Pilkey, Dav,",9781338801910,383
Island of missing trees /,"Shafak, Elif,",9780241988725,365
For whom the ball rolls /,"Pilkey, Dav,",9780702303678,360
Dog Man and Cat Kid /,"Pilkey, Dav,",9781407192123,347
Cat Kid Comic Club.,"Beard, George",9780702318740,337
Jamie Smart's Bunny vs Monkey and the supersonic,"Smart, Jamie,",9781788452434,333
Bunny vs Monkey and the human invasion! /,"Smart, Jamie,",9781788451956,332
Dog Man /,"Pilkey, Dav,",9781407140391,330
Tale of two kitties /,"Pilkey, Dav,",9781407186672,327
Mothering heights /,"Pilkey, Dav,",9780702313493,321
Rise of the maniacal badger /,"Smart, Jamie,",9781788452809,316
Fetch-22 /,"Pilkey, Dav,",9780702306877,311
Brawl of the wild /,"Pilkey, Dav,",9781407191942,310
Dog Man unleashed /,"Pilkey, Dav,",9781407186603,306
Bunny vs Monkey and the League of Doom! /,"Smart, Jamie,",9781788452304,305
Grime and punishment /,"Pilkey, Dav,",9780702310676,303
Cleopatra and Frankenstein /,"Mellors, Coco,",9780008421793,303
New Stock - West Norwood Library,New Stock,XXX9800021,289
Bunny vs Monkey /,"Smart, Jamie,",9781788451772,285
Jamie Smart's Looshkin.,"Smart, Jamie,",9781788452557,282
Cat Kid Comic Club.,"Pilkey, Dav,",9781338846621,282
"Tomorrow, and tomorrow, and tomorrow /","Zevin, Gabrielle,",9781529115543,275
Lord of the fleas /,"Pilkey, Dav,",9781407192161,265
"Really good, actually /","Heisey, Monica,",9780008511722,258
Harry Potter and the philosopher's stone /,"Rowling, J. K.,",9781408855652,255
Wrecking ball /,"Kinney, Jeff,",9780241396926,246
Demon Copperhead /,"Kingsolver, Barbara,",9780571376483,245
Long haul /,"Kinney, Jeff,",9780141354224,241
Small things like these /,"Keegan, Claire,",9780571368709,237
Cabin fever /,"Kinney, Jeff,",9780141343006,236
Diper överlöde /,"Kinney, Jeff,",9780241583081,236
Satsuma complex /,"Mortimer, Bob,",9781398521230,234
Marriage portrait /,"O'Farrell, Maggie,",9781472223883,232
"Biscuits, bands and very big plans /","Pichon, Liz,",9781407189307,228
Lessons in chemistry /,"Garmus, Bonnie,",9780857528124,228
How to kill your family /,"Mackie, Bella,",9780008365943,223
Bullet that missed /,"Osman, Richard,",9780241992388,221
Big shot /,"Kinney, Jeff,",9780241396650,220
Rodrick rules /,"Kinney, Jeff,",9780141324913,218
Getaway /,"Kinney, Jeff,",9780141385259,217
Meltdown /,"Kinney, Jeff,",9780241389317,216
Double down /,"Kinney, Jeff,",9780141376660,214
Harry Potter and the prisoner of Azkaban /,"Rowling, J. K.,",9781408855676,212
Oof! Right in the puddings! /,"Wobblybum, P. P.,",9781788452939,207
Diary of a wimpy kid :Greg Heffley's Jnl /,"Kinney, Jeff,",9780141324906,207
Third wheel /,"Kinney, Jeff,",9780141345741,205
Deep end /,"Kinney, Jeff,",9780241396957,204
Trespasses /,"Kennedy, Louise",9781526623362,204
Harry Potter and the chamber of secrets /,"Rowling, J. K.,",9781408855669,204
What monster? /,"Pichon, Liz,",9781407179872,201
Man who died twice /,"Osman, Richard,",9780241988244,201
Cat Kid Comic Club.,"Pilkey, Dav,",9780702325403,199
Hard luck /,"Kinney, Jeff,",9780141355481,198
Seven husbands of Evelyn Hugo :a novel /,"Reid, Taylor Jenkins,",9781398515697,197
Last straw /,"Kinney, Jeff,",9780141324920,196
It ends with us /,"Hoover, Colleen,",9781471156267,195
Shrines of gaiety /,"Atkinson, Kate,",9781804991053,194
No brainer /,"Kinney, Jeff,",9780241583135,185
Bullet that missed /,"Osman, Richard,",9780241512425,185
Dog days /,"Kinney, Jeff,",9780141331973,185
Old school /,"Kinney, Jeff,",9780141377094,185
Seven moons of Maali Almeida /,"Karunatilaka, Shehan,",9781908745903,184
Klara and the sun /,"Ishiguro, Kazuo,",9780571364879,184
Carrie Soto is back /,"Reid, Taylor Jenkins,",9781804940877,183
Detective dog /,"Donaldson, Julia,",9781509801602,180
Spectacular school trip (really...) /,"Pichon, Liz,",9781407186733,178
Cat Kid Comic Club /,"Beard, George",9780702310928,176
Too late /,"Hoover, Colleen,",9781408729465,174
Big shot /,"Kinney, Jeff,",9780241396988,172
Yellowface /,"Kuang, R. F.",9780008532772,171
Ugly truth /,"Kinney, Jeff,",9780141340821,170
It starts with us /,"Hoover, Colleen,",9781398518209,168
Jamie Smart's Bunny vs Monkey multiverse mix-up!,"Smart, Jamie,",9781788452922,166
Thursday Murder Club /,"Osman, Richard,",9780241988268,163
Spare /,"Harry,",9780857504791,163
Harry Potter and the goblet of fire /,"Rowling, J. K.,",9781408855683,162
No-show /,"O'Leary, Beth,",9781529409147,161
Never never /,"Hoover, Colleen,",9780008620486,161
"Babel, or, The necessity of violence :an arcane","Kuang, R. F.",9780008501853,159
Do no harm /,"Jordan, Jack",9781398505704,158
I'm a fan /,"Patel, Sheena,",9781783789818,158
Marriage portrait /,"O'Farrell, Maggie,",9781472223845,155
"Tomorrow, and tomorrow, and tomorrow /","Zevin, Gabrielle,",9781784744649,155
Diary of an awesome friendly kid :Rowley Jeffers,"Kinney, Jeff,",9780241405703,155
Tiny bit lucky /,"Pichon, Liz,",9781407193496,154
Harry Potter and the Deathly Hallows /,"Rowling, J. K.,",9781408855713,154
Romantic comedy /,"Sittenfeld, Curtis,",9780857527493,153
Brilliant world of Tom Gates /,"Pichon, Liz,",9781407193434,152
"Girl, the bear and the magic shoes /","Donaldson, Julia,",9781447275985,152
Flember :the secret book.,"Smart, Jamie,",9781910989463,151
Young Mungo /,"Stuart, Douglas,",9781529068788,151
IPad /,Apple.,LX00282159,149
Go-Away bird /,"Donaldson, Julia,",9781509843572,148
Sorrow and bliss /,"Mason, Meg,",9781474622998,146
Harry Potter and the Order of the Phoenix /,"Rowling, J. K.,",9781408855690,145
Oi cat! /,"Gray, Kes,",9781444932522,142
Awful auntie /,"Walliams, David,",9780007453627,142
Glowing skull /,"Smart, Jamie,",9781788451505,142
Epic adventure (kind of) /,"Pichon, Liz,",9781407193557,140
