Loan Branch (Loans),Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24
LBRUT_Castelnau Library,2324,2621,2217,3448,3136,2750,2856,2483,2120,3048,2666,3048
LBRUT_East Sheen Library,6804,6487,6598,9430,8722,7535,7704,6918,6153,7429,6086,7499
LBRUT_Ham Library,2744,2745,2717,3531,3385,3090,3095,2754,2505,2984,2610,2874
LBRUT_Hampton Hill Library,4147,3733,3569,5100,4987,4322,4537,4220,3285,3909,3591,3575
LBRUT_Hampton Library,3944,4093,3741,5261,5146,4907,4690,4193,3790,4681,4348,4593
LBRUT_Hampton Wick Library,829,918,966,1002,971,830,923,945,751,791,749,895
LBRUT_Kew Library,1440,1514,1670,1842,1668,1673,1816,1837,1396,1853,1745,1764
LBRUT_Richmond Lending Library,10549,9800,9501,13467,12407,10617,11233,10414,9370,10617,9936,10099
LBRUT_Richmond Local Studies Library & Archive,5,5,7,6,6,2,6,12,20,13,1,1
LBRUT_Richmond Reference Library,135,144,235,168,267,196,140,147,197,217,130,133
LBRUT_Richmond Telephone Renewals,4,4,0,0,0,0,0,0,0,,,
LBRUT_Teddington Library,8626,8232,7817,11240,10490,8745,9530,8444,7797,8969,8641,8716
LBRUT_The Cottage,177,231,114,93,237,185,220,257,130,246,192,221
LBRUT_Twickenham Library,8230,8119,7575,11110,10198,9239,9672,8424,7169,8743,8782,8561
LBRUT_Web,21264,23388,20868,22009,24825,23324,23393,22712,23373,22608,20448,23590
LBRUT_Whitton Library,6287,5958,5966,8386,8285,6557,6658,5860,5367,6523,6138,6326
