Title,Author,No. of loans
Lessons in chemistry,"Garmus, Bonnie",848
Big shot,"Kinney, Jeff",776
Cat Kid Comic Club. On purpose,"Pilkey, Dav, 1966-",617
The meltdown,"Kinney, Jeff",506
The smartest giant in town,"Donaldson, Julia",480
The getaway,"Kinney, Jeff",474
The ugly truth,"Kinney, Jeff",462
Cabin fever,"Kinney, Jeff",449
Double down,"Kinney, Jeff",449
The long haul,"Kinney, Jeff",446
Diper o?verlo?de,"Kinney, Jeff",416
The last straw,"Kinney, Jeff",414
Diary of a wimpy kid : Greg Heffley's journal,"Kinney, Jeff",401
Diary of a wimpy kid : Rodrick rules,"Kinney, Jeff",395
The third wheel,"Kinney, Jeff",394
Harry Potter and the philosopher's stone,"Rowling, J. K.",393
Dog days,"Kinney, Jeff",391
Wrecking ball,"Kinney, Jeff",390
Hard luck,"Kinney, Jeff",377
The bullet that missed,"Osman, Richard, 1970-",363
Brawl of the wild,"Pilkey, Dav, 1966-",357
Bunny vs Monkey and the League of Doom!,"Smart, Jamie",350
Rise of the maniacal badger,"Smart, Jamie",350
Twenty thousand fleas under the sea,"Pilkey, Dav, 1966-",347
Dog Man unleashed,"Pilkey, Dav, 1966-",342
The deep end,"Kinney, Jeff",341
The marriage portrait,"O'Farrell, Maggie, 1972-",341
Dog Man and Cat Kid,"Pilkey, Dav, 1966-",338
Cat Kid Comic Club. Collaborations,"Pilkey, Dav, 1966-",331
George and the dinosaur,"Holowaty, Lauren",331
Jamie Smart's Bunny vs Monkey multiverse mix-up!,"Smart, Jamie",331
Mothering heights,"Pilkey, Dav, 1966-",330
Bunny vs Monkey,"Smart, Jamie",329
Jamie Smart's Bunny vs Monkey and the supersonic aye-aye!,"Smart, Jamie",325
Shrines of gaiety,"Atkinson, Kate",325
Old school,"Kinney, Jeff",318
The Highway Rat,"Donaldson, Julia",312
Grime and punishment,"Pilkey, Dav, 1966-",309
The scarecrows' wedding,"Donaldson, Julia",305
Bunny vs Monkey and the human invasion!,"Smart, Jamie",298
Cat Kid Comic Club. Perspectives,"Beard, George (Fictitious character)",292
Genius ideas (mostly),"Pichon, Liz",290
"Family, friends and furry creatures : my school project","Pichon, Liz",281
For whom the ball rolls,"Pilkey, Dav, 1966-",281
"Biscuits, bands and very big plans","Pichon, Liz",279
Cat Kid Comic Club. Volume 2,"Pilkey, Dav",278
Harry Potter and the chamber of secrets,"Rowling, J. K.",276
Jamie Smart's Looshkin. Diary of the maddest cat in the world!!,"Smart, Jamie",274
Machine mayhem,"Smart, Jamie",273
Lord of the fleas,"Pilkey, Dav, 1966-",271
The brilliant world of Tom Gates,"Pichon, Liz",268
Stick man,"Donaldson, Julia",267
The gruffalo,"Donaldson, Julia",265
The Gruffalo's child,"Donaldson, Julia",263
The magic finger,"Dahl, Roald",263
What monster?,"Pichon, Liz",261
Spare,"Harry, Prince, Duke of Sussex, 1984-",258
Fetch-22,"Pilkey, Dav, 1966-",253
Ten tremendous tales,"Pichon, Liz",248
Zog and the flying doctors,"Donaldson, Julia",248
DogZombies rule (for now),"Pichon, Liz",245
Spinderella,"Donaldson, Julia",245
Matilda,"Dahl, Roald",243
Captain Underpants and the tyrannical retaliation of the Turbo Toilet 2000,"Pilkey, Dav, 1966-",242
Oof! Right in the puddings!,"Wobblybum, P. P.",242
Cat Kid Comic Club,"Beard, George (Fictitious character)",241
The enormous crocodile,"Dahl, Roald",238
The hospital dog,"Donaldson, Julia",238
The last devil to die,"Osman, Richard, 1970-",237
Dog Man,"Pilkey, Dav, 1966-",234
Extra special treats (not),"Pichon, Liz",234
A tiny bit lucky,"Pichon, Liz",233
George's marvellous medicine,"Dahl, Roald",233
Top of the class (nearly),"Pichon, Liz",232
Epic adventure (kind of),"Pichon, Liz",230
The world's worst pets,"Walliams, David, 1971-",228
Everything's amazing (sort of),"Pichon, Liz",227
Excellent excuses (and other good stuff),"Pichon, Liz",227
A tale of two kitties,"Pilkey, Dav, 1966-",224
Oi Duck-billed platypus!,"Gray, Kes",224
Peppa's scooter fun,"Hegedus, Toria",224
Cat's cookbook,"Donaldson, Julia",221
Oi aardvark!,"Gray, Kes",221
Act of oblivion,"Harris, Robert, 1957-",220
Tabby McTat,"Donaldson, Julia",219
Isadora Moon gets the magic pox,"Muncaster, Harriet",217
Rowley Jefferson's journal,"Kinney, Jeff",216
Room on the broom,"Donaldson, Julia",215
Happy to help (eventually),"Pichon, Liz",214
Isadora Moon goes on holiday,"Muncaster, Harriet",213
The cook and the king,"Donaldson, Julia",213
Princess Mirror-Belle and the dragon pox,"Donaldson, Julia",212
My dad is awesome : by Bluey and Bingo,Bluey (Fictitious character),211
Spectacular school trip (really...),"Pichon, Liz",211
Tilda tries again,"Percival, Tom, 1977-",210
Peppa and the coronation,"Gerlings, Rebecca",209
