Library,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24
LBRUT_Castelnau Library,138,160,127,195,148,204,194,167,72,188,125,191
LBRUT_East Sheen Library,248,221,272,398,275,317,312,264,197,271,252,270
LBRUT_Ham Library,116,131,125,111,99,150,157,108,104,154,116,127
LBRUT_Hampton Hill Library,144,160,145,170,159,164,137,149,128,140,130,112
LBRUT_Hampton Library,126,134,126,212,157,171,197,188,126,171,198,177
LBRUT_Hampton Wick Library,37,22,34,24,55,50,28,33,34,41,38,48
LBRUT_Kew Library,57,63,52,65,51,55,74,77,63,55,63,68
LBRUT_Richmond Lending Library,377,342,366,439,436,489,400,385,314,462,417,396
LBRUT_Richmond Local Studies Library & Archive,3,3,1,1,0,0,3,3,2,3,2,4
LBRUT_Richmond Reference Library,28,39,42,46,38,60,62,78,62,96,97,69
LBRUT_Teddington Library,282,253,270,377,351,293,295,245,185,279,273,247
LBRUT_The Cottage,116,74,79,93,161,124,146,202,60,154,171,197
LBRUT_Twickenham Library,192,186,212,333,309,261,259,192,199,239,226,231
LBRUT_Web,"6,401","6,454","6,367","7,344","7,029","7,206","7,446","7,089","6,371","7,903","7,045","7,563"
LBRUT_Whitton Library,206,205,179,263,292,236,260,191,166,187,206,175
