Libraries,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24
Castelnau,2730,2800,2330,3141,3585,2733,2954,3101,2285,3185,2876,3488
East Sheen,9506,9144,9024,9836,9000,9000,11034,11039,9896,11941,10317,11171
Ham,4338,3860,3566,4153,3820,4087,3787,4048,3421,4651,4110,2937
Hampton,4363,4210,3891,5380,5159,5296,5107,4827,4079,4906,4978,5109
Hampton Hill,3667,3317,3586,4527,4683,4506,4256,4022,3778,4178,3813,3713
Hampton Wick,958,997,1127,1162,662,1053,2172,1093,1075,837,992,1264
Kew,1112,1878,1726,1554,1944,1930,1058,1631,1224,1426,1433,1321
Local Studies,1091,1178,1302,1632,2041,1730,963,1456,1280,1273,1253,1334
Reference,8322,7908,7331,5136,6714,5685,4592,6682,6130,8054,7512,7480
Richmond,10758,9973,9827,11289,12219,11169,11322,11201,9489,11452,11564,11200
Teddington,8925,8574,8757,10066,10488,9463,10316,9138,8553,9669,9862,9993
Twickenham,8862,8870,7795,19652,9876,9946,9940,9834,7759,10587,8771,10087
Whitton,8044,8128,7930,8277,8642,10671,8642,8666,6984,8169,9073,9711
