Library Issues,,,,,,,,,,,,,
,2023,,,,,,,,,2024,,,
,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,TOTAL
Abbey Wood,913,825,736,747,832,618,606,546,648,"1,202","1,123","1,722","10,518"
Blackheath,"7,628","8,072","7,086","8,928","8,634","8,681","8,015","8,699","7,219","8,373","7,983","8,198","97,516"
Call point (renewals),182,198,168,229,226,217,156,168,0,8,111,114,"1,777"
Charlton,"1,592","1,719","1,641","2,084","2,096","1,803","1,980","1,955","1,276","1,849","1,750","1,756","21,501"
Coldharbour,473,378,420,425,773,569,489,520,483,656,682,985,"6,853"
Eltham,"11,220","12,025","10,652","13,198","12,548","13,032","12,880","13,329","11,132","13,151","12,371","13,258","148,796"
Greenwich  Centre,"11,501","11,884","11,796","12,571","12,690","12,811","13,878","12,810","11,581","13,898","13,527","14,246","153,193"
New Eltham,"2,981","2,546","2,585","2,886","3,004","3,052","2,923","2,928","2,275","3,145","2,793","3,230","34,348"
Outreach,"9,997","10,557","9,851","8,652","9,733","10,091","10,712","11,302","10,438","11,718","11,983","12,008","127,042"
Plumstead,"2,498","2,841","2,417","3,149","3,125","3,078","3,240","2,960","2,491","3,016","2,910","3,002","34,727"
Slade,"3,690","4,501","3,745","2,900","3,909","3,513","4,179","3,780","3,064","3,790","4,227","4,281","45,579"
Thamesmere,"1,922","1,701","1,803","2,392","2,460","1,785","1,847","1,744","1,682","2,067","2,192","2,487","24,082"
West Greenwich,"4,444","4,722","4,661","5,356","4,833","4,689","4,913","4,915","4,345","4,654","4,749","5,050","57,331"
Woolwich,"21,506","18,223","14,307","17,255","16,743","15,388","14,701","14,928","13,994","16,246","16,258","14,629","194,178"
,,,,,,,,,,,,,0
Total,"80,547","80,192","71,868","80,772","81,606","79,327","80,519","80,584","70,628","83,773","82,659","84,966","957,441"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Library Visits,,,,,,,,,,,,,
,2023,,,,,,,,,2024,,,
,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,TOTAL
Abbey Wood,"1,371","1,628","1,679","1,779","1,561","1,844","1,938","1,515","1,285","1,779","2,149","2,117","20,645"
Blackheath,"6,417","6,259","6,256","7,096","5,829","6,560","6,686","6,616","4,986","6,556","6,363","6,996","76,620"
Charlton,"1,263","1,547","1,669","1,800","1,622","2,054","1,583","1,500",884,"1,520","1,009","1,602","18,053"
Coldharbour,878,917,"1,001","1,087","1,090","1,078","1,088",981,834,975,"1,041","1,261","12,231"
Eltham,"31,599","28,817","29,006","31,125","30,158","30,631","31,902","30,396","25,005","31,157","33,074","33,650","366,520"
