"*Our LMS analytic software report regarding Active Users, provides data for previous 12 months from day the report is run. Figures taken from internal KPI. ",,,,,,
Month 22-23,Active Users for month report was run,,,,,
,Askew Road Library ,Avonmore Library ,Fulham Library ,Hammersmith Home Library Service,Hammersmith Library ,Shepherds Bush Library 
2023-4,1469,170,5605,238,4723,5275
2023-5,1786,191,7181,183,5586,6024
2023-6,1782,191,7167,181,5584,6016
2023-7,1777,190,7156,179,5567,6003
2023-8,1775,189,7137,179,5546,5981
2023-9,1770,189,7126,179,5534,5975
2023-10,1768,188,7114,177,5521,5960
2023-11,1766,188,7098,175,5511,5947
2023-12,1766,188,7093,174,5503,5932
2024-01,1764,187,7080,174,5495,5914
2024-02,1759,187,7074,173,5480,5899
2024-03,1754,187,7056,173,5468,5885
Total Averages,1745,187,6991,182,5460,5901
