Month 23-24,Holds,,,,,
,Askew road Library ,Avonmore Library ,Fulham Library ,Hammersmith Home Library Service,Hammersmith Library ,Shepherds Bush Library 
2023-4,139,2,557,44,356,186
2023-5,70,33,454,46,459,234
2023-6,89,21,566,37,404,284
2023-7,102,14,619,65,577,286
2023-8,98,6,912,47,521,469
2023-9,145,24,816,37,738,438
2023-10,111,14,990,37,625,440
2023-11,176,19,897,70,640,497
2023-12,99,3,536,39,415,339
2024-01,205,35,1082,53,653,599
2024-02,194,24,1049,47,625,409
2024-03,247,17,1070,62,783,461
Totals,1675,212,9548,584,6796,4642
