Library Issues,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,Total
Hereford Issues,"5,001","5,629","4,949","5,999","5,841","5,073","5,708","6,478","5,135","7,322","6,728","5,234",69097
Leominster Issues,"6,536","5,867","5,768","7,105","6,981","6,193","6,248","5,688","4,596","6,157","5,641","6,056",72836
Ross-On-Wye Issues,"6,888","6,266","5,592","6,829","7,184","6,123","6,548","5,643","4,510","5,678","5,497","6,248",73006
Ledbury Issues,"3,914","3,887","3,668","4,280","4,323","3,790","3,981","3,874","3,043","4,102","3,643","3,904",46409
Bromyard Issues,718,807,732,850,804,858,863,768,634,896,872,814,9616
Kington Issues,934,"1,030",981,"1,062","1,229","1,011","1,239","1,141",900,"1,085","1,079","1,071",12762
Belmont Issues,"1,785","1,966","1,880","2,222","2,261","1,914","1,968","1,889","1,293","1,883","1,454","2,020",22535
Colwall Issues,620,739,725,808,886,737,745,689,567,771,672,712,8671
Weobley Issues,343,367,376,404,457,372,381,298,278,326,250,299,4151
Leintwardine Issues,288,296,276,359,373,333,375,255,212,250,293,242,3552
Peterchurch Issues,197,201,177,213,242,192,221,176,142,184,164,207,2316
Home Delivery Issues,381,307,247,348,446,240,388,246,505,449,138,546,4241
Stock Unit Issues,119,115,113,132,117,113,117,99,126,146,120,134,1451
Total,27724,27477,25484,30611,31144,26949,28782,27244,21941,29249,26551,27487,330643
