,Belmont,Bromyard,Colwall,Home Delivery,Hereford,Kington,Ledbury,Leintwardine,Leominster,Peterchurch,Ross-On-Wye,Stock Unit,Weobley,Total
01. Adult,603,889,443,2,8060,701,2569,196,3254,165,3505,11,174,20572
02. Under Five,69,41,13,0,578,34,148,3,209,7,174,1,8,1285
03. Junior,265,101,62,0,2182,146,438,42,666,38,808,3,31,4782
04. Teenage,96,56,28,0,814,53,168,15,259,27,294,1,9,1820
05. TeenPlus,58,35,10,0,509,26,96,5,160,10,211,0,5,1125
06. Access Adult,35,28,7,3,457,28,45,3,114,3,95,1,6,825
07. Access Under Five,1,0,0,0,4,0,2,2,4,0,9,0,0,22
08. Access Junior,1,5,0,0,7,1,0,2,2,0,5,0,3,26
09. Access Teenage,0,4,0,0,8,2,2,0,7,0,1,0,0,24
10. Access Teenplus,2,4,0,0,15,5,0,0,11,0,0,0,0,37
10. Childminder,2,1,0,0,16,1,2,0,4,0,5,0,0,31
11. Foster Carer,0,0,0,0,3,,1,0,1,0,0,0,0,5
12. Home Delivery,0,1,0,80,4,2,10,0,22,1,26,0,0,146
13. Residential home,0,1,0,29,2,2,1,0,5,0,0,2,0,42
14. Early Years Group,0,3,0,0,17,2,1,0,11,2,6,1,0,43
15. Reader Group,0,0,0,0,0,1,1,0,0,0,2,61,0,65
Totals,1132,1169,563,114,12676,1004,3484,268,4729,253,5141,81,236,30850
