FOI: 18260145,London Borough of Hammersmith & Fulham,,
"2. The top one hundred titles loaned, with a count of each, for the year",,,
,,,
"Suggested format is a spreadsheet with column headings of ISBN, title, author, count of loans. ",,,
,,,
Catalogue Title,Catalogue Flex Id (ISBN),Catalogue Author,Number of Checkouts
Rowley Jefferson's awesome friendly adventure /,i9780241458839,"Kinney, Jeff,",102 
The meltdown /,i9780241321980,"Kinney, Jeff,",93 
Diary of a Wimpy Kid (Book 18): No brainer /,i9780241583135,"Kinney, Jeff,",85 
Tom Gates (Book 20): Happy to help (eventually) /,i9780702326578,"Pichon, Liz,",80 
Diary of a Wimpy Kid ,i9780241583104,"Kinney, Jeff,",67 
The world's worst teachers /,i9780008637545,"Walliams, David,",64 
Dog Man unleashed /,i9781407186603,"Pilkey, Dav,",63 
Rowley Jefferson's awesome friendly spooky stories /,i9780241530412,"Kinney, Jeff,",63 
Diary of a Wimpy Kid (Book 14): Wrecking Ball /,i9780241396926,"Kinney, Jeff,",62 
Diary of a Wimpy Kid ,i9780141376677,"Kinney, Jeff.",61 
Blue sisters /,i9780008622992,"Mellors, Coco,",60 
Diary of a Wimpy Kid ,i9780241396957,"Kinney, Jeff,",60 
Butter /,i9780008511685,"Yuzuki, Asako,",58 
The world's worst monsters /,i9780008305819,"Walliams, David,",58 
One hundred years of solitude /,i9780241968581,"García Márquez, Gabriel,",57 
Demon Copperhead /,i9780571376483,"Kingsolver, Barbara,",56 
Looshkin: Honk if you see it! /,i9781788453134,"Smart, Jamie,",55 
Diary of a Wimpy Kid ,i9780141324913,"Kinney, Jeff.",54 
,i9780141373010,"Kinney, Jeff.",54 
,i9780241583081,"Kinney, Jeff,",54 
Intermezzo /,i9780571365463,"Rooney, Sally,",54 
Rowley Jefferson's awesome friendly spooky stories /,i9780241530399,"Kinney, Jeff,",54 
"Tomorrow, and tomorrow, and tomorrow /",i9781529115543,"Zevin, Gabrielle,",54 
Bluey: Bob Bilby.,i9780241550533,,53 
Brawl of the wild /,i9781407191942,"Pilkey, Dav,",53 
Grey bees /,i9780857059352,"Kurkov, Andre?,",53 
Long Island /,i9781035029440,"Tóibín, Colm,",53 
Diary of a Wimpy Kid ,i9780141324920,"Kinney, Jeff.",52 
Tom Gates (Book 21): Five star stories /,i9780702313431,"Pichon, Liz,",52 
Diary of a Wimpy Kid ,i9780141354217,"Kinney, Jeff.",51 
Peppa goes to a wedding /,i9780241667286,"Webb, Christina,",51 
Spot's Easter egg hunt: a peep-through counting book /,i9780241648360,,51 
