QUESTION 1,LOANS PER LIBRARY BRANCH PER MONTH,,,,,,,,,,,
LIBRARY  / 2024-25,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03
ARCHWAY LIBRARY,5712,6264,5582,6269,5896,6065,6375,5636,4877,6125,5994,6852
CAT & MOUSE LIBRARY,2372,2323,2290,2417,2209,2095,2254,2264,1847,2452,2259,2109
CENTRAL LIBRARY,11392,10742,10375,11717,11054,11810,11963,11515,10183,11659,10377,10995
FINSBURY LIBRARY,4679,4699,4296,4913,4746,4916,4570,4548,4275,4808,4397,4634
LEWIS CARROLL LIBRARY,980,1202,1191,1237,803,1021,1175,1370,831,1357,1310,1608
MILDMAY LIBRARY,2642,2497,2234,2299,2570,2392,2731,2357,1965,2753,2529,2367
N4 LIBRARY,4681,4871,4600,5085,4657,5139,5216,5180,4429,5340,4891,5074
NORTH LIBRARY,2999,3012,2914,3316,3628,3396,3621,3551,2968,3772,3415,3551
SOUTH LIBRARY,3745,3920,3716,3929,3660,3954,3976,3915,3275,4059,3634,4192
WEST LIBRARY,2608,2644,2606,2630,2672,2691,2996,2950,2233,2807,2583,2612
,,,,,,,,,,,,
QUESTION 3,RESERVATIONS PER LIBRARY BRANCH (Annual totals only available),,,,,,,,,,,
LIBRARY  ,2024-25,,,,,,,,,,,
ARCHWAY LIBRARY,1274,,,,,,,,,,,
CAT & MOUSE LIBRARY,506,,,,,,,,,,,
CENTRAL LIBRARY,3423,,,,,,,,,,,
FINSBURY LIBRARY,2427,,,,,,,,,,,
LEWIS CARROLL LIBRARY,387,,,,,,,,,,,
MILDMAY LIBRARY,798,,,,,,,,,,,
N4 LIBRARY,1560,,,,,,,,,,,
NORTH LIBRARY,1839,,,,,,,,,,,
SOUTH LIBRARY,1219,,,,,,,,,,,
WEST LIBRARY,2103,,,,,,,,,,,
,,,,,,,,,,,,
QUESTION 4,ACTIVE MEMBERS PER HOME BRANCH (Annual totals only available),,,,,,,,,,,
LIBRARY  ,2024-25,,,,,,,,,,,
ARCHWAY LIBRARY,3196,,,,,,,,,,,
CAT & MOUSE LIBRARY,1477,,,,,,,,,,,
CENTRAL LIBRARY,5793,,,,,,,,,,,
FINSBURY LIBRARY,2299,,,,,,,,,,,
LEWIS CARROLL LIBRARY,976,,,,,,,,,,,
MILDMAY LIBRARY,1403,,,,,,,,,,,
N4 LIBRARY,2418,,,,,,,,,,,
NORTH LIBRARY,1663,,,,,,,,,,,
SOUTH LIBRARY,2612,,,,,,,,,,,
WEST LIBRARY,1470,,,,,,,,,,,
,,,,,,,,,,,,
QUESTION 5,VISITS PER LIBRARY BRANCH PER MONTH,,,,,,,,,,,
LIBRARY  / 2024-25,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03
ARCHWAY LIBRARY,7533,8188,7964,8620,7699,7970,8577,8141,6284,7758,7856,8489
CAT & MOUSE LIBRARY,3085,3488,3307,3197,3147,2822,3574,3468,2381,3284,3156,3420
CENTRAL LIBRARY,27091,26678,24977,22103,20876,22921,24741,24099,20675,23784,23241,27767
FINSBURY LIBRARY,9719,10772,9771,10932,7542,8520,10696,10457,8785,10470,103395,10816
LEWIS CARROLL LIBRARY,1136,1489,1532,1605,1182,1577,1582,1564,1260,1486,1550,1942
MILDMAY LIBRARY,2867,2715,3228,4882,2879,2987,4053,3321,2819,3310,3067,3565
N4 LIBRARY,7143,7733,7071,8592,6593,7640,8037,7917,6721,7807,7337,8163
NORTH LIBRARY,3612,3974,3292,3771,4088,3691,4727,3750,3170,4226,4063,4037
SOUTH LIBRARY,5166,5414,5261,5846,4845,5392,5535,5908,4957,6243,5828,6399
WEST LIBRARY,7210,6927,7961,7424,6712,6589,8051,8473,6542,7397,6853,7119
